,Match,Team,Alliance,measurement,value,dloc,DefType
1265,85,48,red,AutoTotalPoints,12,,
1266,85,6084,red,AutoTotalPoints,0,,
1267,85,3814,blue,AutoTotalPoints,2,,
1268,85,4085,blue,AutoTotalPoints,12,,
1269,85,451,blue,AutoTotalPoints,0,,
1270,86,120,blue,AutoTotalPoints,12,,
1271,86,5811,blue,AutoTotalPoints,0,,
1272,87,2051,red,AutoTotalPoints,0,,
1273,87,2051,red,AutoTotalPoints,12,,
1274,87,1708,red,AutoTotalPoints,0,,
1275,87,1708,red,AutoTotalPoints,2,,
1276,87,4145,red,AutoTotalPoints,0,,
1277,87,4145,red,AutoTotalPoints,67,,
1278,87,5492,blue,AutoTotalPoints,0,,
1279,87,5492,blue,AutoTotalPoints,12,,
1280,87,4284,blue,AutoTotalPoints,0,,
1281,87,4284,blue,AutoTotalPoints,12,,
1282,87,5667,blue,AutoTotalPoints,0,,
1283,87,5667,blue,AutoTotalPoints,0,,
1284,88,2016,red,AutoTotalPoints,12,,
1285,88,1014,red,AutoTotalPoints,5,,
1286,88,4256,red,AutoTotalPoints,22,,
1287,88,3000,blue,AutoTotalPoints,0,,
1288,88,4028,blue,AutoTotalPoints,12,,
1289,88,6185,blue,AutoTotalPoints,0,,
1290,77,5667,red,TeleOpD1Cross,0,1.0,E_LowBar
1291,77,451,red,TeleOpD1Cross,0,1.0,E_LowBar
1292,77,3484,red,TeleOpD1Cross,1,1.0,E_LowBar
1293,77,4256,blue,TeleOpD1Cross,1,1.0,E_LowBar
1294,77,1939,blue,TeleOpD1Cross,0,1.0,E_LowBar
1295,77,2040,blue,TeleOpD1Cross,0,1.0,E_LowBar
1296,78,3324,red,TeleOpD1Cross,0,1.0,E_LowBar
1297,78,48,red,TeleOpD1Cross,4,1.0,E_LowBar
1298,78,279,red,TeleOpD1Cross,0,1.0,E_LowBar
1299,78,4521,blue,TeleOpD1Cross,0,1.0,E_LowBar
1300,78,3201,blue,TeleOpD1Cross,0,1.0,E_LowBar
1301,78,2016,blue,TeleOpD1Cross,0,1.0,E_LowBar
1302,79,4920,red,TeleOpD1Cross,0,1.0,E_LowBar
1303,79,5811,red,TeleOpD1Cross,1,1.0,E_LowBar
1304,79,3814,red,TeleOpD1Cross,0,1.0,E_LowBar
1305,79,5809,blue,TeleOpD1Cross,1,1.0,E_LowBar
1306,79,1038,blue,TeleOpD1Cross,1,1.0,E_LowBar
1307,79,4284,blue,TeleOpD1Cross,0,1.0,E_LowBar
1308,80,2051,red,TeleOpD1Cross,0,1.0,E_LowBar
1309,80,2051,red,TeleOpD1Cross,0,1.0,E_LowBar
1310,80,3138,red,TeleOpD1Cross,0,1.0,E_LowBar
1311,80,3138,red,TeleOpD1Cross,0,1.0,E_LowBar
1312,80,1014,red,TeleOpD1Cross,0,1.0,E_LowBar
1313,80,1014,red,TeleOpD1Cross,0,1.0,E_LowBar
1314,80,4085,blue,TeleOpD1Cross,0,1.0,E_LowBar
1315,80,4085,blue,TeleOpD1Cross,0,1.0,E_LowBar
1316,80,120,blue,TeleOpD1Cross,0,1.0,E_LowBar
1317,80,120,blue,TeleOpD1Cross,2,1.0,E_LowBar
1318,80,3266,blue,TeleOpD1Cross,0,1.0,E_LowBar
1319,80,3266,blue,TeleOpD1Cross,0,1.0,E_LowBar
1320,81,6181,red,TeleOpD1Cross,0,1.0,E_LowBar
1321,81,6181,red,TeleOpD1Cross,0,1.0,E_LowBar
1322,81,1708,red,TeleOpD1Cross,0,1.0,E_LowBar
1323,81,1708,red,TeleOpD1Cross,4,1.0,E_LowBar
1324,81,3504,red,TeleOpD1Cross,0,1.0,E_LowBar
1325,81,3504,red,TeleOpD1Cross,0,1.0,E_LowBar
1326,81,337,blue,TeleOpD1Cross,0,1.0,E_LowBar
1327,81,337,blue,TeleOpD1Cross,0,1.0,E_LowBar
1328,81,5749,blue,TeleOpD1Cross,0,1.0,E_LowBar
1329,81,5749,blue,TeleOpD1Cross,1,1.0,E_LowBar
1330,81,3000,blue,TeleOpD1Cross,0,1.0,E_LowBar
1331,81,3000,blue,TeleOpD1Cross,0,1.0,E_LowBar
1332,82,4115,red,TeleOpD1Cross,0,1.0,E_LowBar
1333,82,144,red,TeleOpD1Cross,1,1.0,E_LowBar
1334,82,5492,red,TeleOpD1Cross,2,1.0,E_LowBar
1335,82,3492,blue,TeleOpD1Cross,1,1.0,E_LowBar
1336,82,6185,blue,TeleOpD1Cross,1,1.0,E_LowBar
1337,82,3260,blue,TeleOpD1Cross,0,1.0,E_LowBar
1338,83,554,red,TeleOpD1Cross,0,1.0,E_LowBar
1339,83,1308,red,TeleOpD1Cross,1,1.0,E_LowBar
1340,83,128,red,TeleOpD1Cross,0,1.0,E_LowBar
1341,83,3777,blue,TeleOpD1Cross,2,1.0,E_LowBar
1342,83,3821,blue,TeleOpD1Cross,0,1.0,E_LowBar
1343,83,4213,blue,TeleOpD1Cross,0,1.0,E_LowBar
1344,84,2603,red,TeleOpD1Cross,1,1.0,E_LowBar
1345,84,245,red,TeleOpD1Cross,0,1.0,E_LowBar
1346,84,868,red,TeleOpD1Cross,0,1.0,E_LowBar
1347,84,1985,blue,TeleOpD1Cross,1,1.0,E_LowBar
1348,84,1249,blue,TeleOpD1Cross,0,1.0,E_LowBar
1349,84,5413,blue,TeleOpD1Cross,0,1.0,E_LowBar
1350,85,3484,red,TeleOpD1Cross,3,1.0,E_LowBar
1351,85,48,red,TeleOpD1Cross,0,1.0,E_LowBar
1352,85,6084,red,TeleOpD1Cross,1,1.0,E_LowBar
1353,85,3814,blue,TeleOpD1Cross,0,1.0,E_LowBar
1354,85,4085,blue,TeleOpD1Cross,1,1.0,E_LowBar
1355,85,451,blue,TeleOpD1Cross,0,1.0,E_LowBar
1356,86,120,blue,TeleOpD1Cross,0,1.0,E_LowBar
1357,86,5811,blue,TeleOpD1Cross,0,1.0,E_LowBar
1358,87,2051,red,TeleOpD1Cross,0,1.0,E_LowBar
1359,87,2051,red,TeleOpD1Cross,0,1.0,E_LowBar
1360,87,1708,red,TeleOpD1Cross,0,1.0,E_LowBar
1361,87,1708,red,TeleOpD1Cross,2,1.0,E_LowBar
1362,87,4145,red,TeleOpD1Cross,0,1.0,E_LowBar
1363,87,4145,red,TeleOpD1Cross,0,1.0,E_LowBar
1364,87,5492,blue,TeleOpD1Cross,0,1.0,E_LowBar
1365,87,5492,blue,TeleOpD1Cross,2,1.0,E_LowBar
1366,87,4284,blue,TeleOpD1Cross,0,1.0,E_LowBar
1367,87,4284,blue,TeleOpD1Cross,0,1.0,E_LowBar
1368,87,5667,blue,TeleOpD1Cross,0,1.0,E_LowBar
1369,87,5667,blue,TeleOpD1Cross,0,1.0,E_LowBar
1370,88,2016,red,TeleOpD1Cross,0,1.0,E_LowBar
1371,88,1014,red,TeleOpD1Cross,1,1.0,E_LowBar
1372,88,4256,red,TeleOpD1Cross,1,1.0,E_LowBar
1373,88,3000,blue,TeleOpD1Cross,0,1.0,E_LowBar
1374,88,4028,blue,TeleOpD1Cross,0,1.0,E_LowBar
1375,88,6185,blue,TeleOpD1Cross,0,1.0,E_LowBar
1376,77,5667,red,TeleOpD1Att,0,1.0,E_LowBar
1377,77,451,red,TeleOpD1Att,0,1.0,E_LowBar
1378,77,3484,red,TeleOpD1Att,1,1.0,E_LowBar
1379,77,4256,blue,TeleOpD1Att,1,1.0,E_LowBar
1380,77,1939,blue,TeleOpD1Att,0,1.0,E_LowBar
1381,77,2040,blue,TeleOpD1Att,0,1.0,E_LowBar
1382,78,3324,red,TeleOpD1Att,0,1.0,E_LowBar
1383,78,48,red,TeleOpD1Att,4,1.0,E_LowBar
1384,78,279,red,TeleOpD1Att,0,1.0,E_LowBar
1385,78,4521,blue,TeleOpD1Att,0,1.0,E_LowBar
1386,78,3201,blue,TeleOpD1Att,0,1.0,E_LowBar
1387,78,2016,blue,TeleOpD1Att,0,1.0,E_LowBar
1388,79,4920,red,TeleOpD1Att,0,1.0,E_LowBar
1389,79,5811,red,TeleOpD1Att,1,1.0,E_LowBar
1390,79,3814,red,TeleOpD1Att,0,1.0,E_LowBar
1391,79,5809,blue,TeleOpD1Att,1,1.0,E_LowBar
1392,79,1038,blue,TeleOpD1Att,1,1.0,E_LowBar
1393,79,4284,blue,TeleOpD1Att,0,1.0,E_LowBar
1394,80,2051,red,TeleOpD1Att,0,1.0,E_LowBar
1395,80,2051,red,TeleOpD1Att,0,1.0,E_LowBar
1396,80,3138,red,TeleOpD1Att,0,1.0,E_LowBar
1397,80,3138,red,TeleOpD1Att,0,1.0,E_LowBar
1398,80,1014,red,TeleOpD1Att,0,1.0,E_LowBar
1399,80,1014,red,TeleOpD1Att,0,1.0,E_LowBar
1400,80,4085,blue,TeleOpD1Att,0,1.0,E_LowBar
1401,80,4085,blue,TeleOpD1Att,0,1.0,E_LowBar
1402,80,120,blue,TeleOpD1Att,0,1.0,E_LowBar
1403,80,120,blue,TeleOpD1Att,2,1.0,E_LowBar
1404,80,3266,blue,TeleOpD1Att,0,1.0,E_LowBar
1405,80,3266,blue,TeleOpD1Att,0,1.0,E_LowBar
1406,81,6181,red,TeleOpD1Att,0,1.0,E_LowBar
1407,81,6181,red,TeleOpD1Att,0,1.0,E_LowBar
1408,81,1708,red,TeleOpD1Att,0,1.0,E_LowBar
1409,81,1708,red,TeleOpD1Att,4,1.0,E_LowBar
1410,81,3504,red,TeleOpD1Att,0,1.0,E_LowBar
1411,81,3504,red,TeleOpD1Att,0,1.0,E_LowBar
1412,81,337,blue,TeleOpD1Att,0,1.0,E_LowBar
1413,81,337,blue,TeleOpD1Att,0,1.0,E_LowBar
1414,81,5749,blue,TeleOpD1Att,0,1.0,E_LowBar
1415,81,5749,blue,TeleOpD1Att,1,1.0,E_LowBar
1416,81,3000,blue,TeleOpD1Att,0,1.0,E_LowBar
1417,81,3000,blue,TeleOpD1Att,0,1.0,E_LowBar
1418,82,4115,red,TeleOpD1Att,1,1.0,E_LowBar
1419,82,144,red,TeleOpD1Att,1,1.0,E_LowBar
1420,82,5492,red,TeleOpD1Att,2,1.0,E_LowBar
1421,82,3492,blue,TeleOpD1Att,1,1.0,E_LowBar
1422,82,6185,blue,TeleOpD1Att,1,1.0,E_LowBar
1423,82,3260,blue,TeleOpD1Att,0,1.0,E_LowBar
1424,83,554,red,TeleOpD1Att,0,1.0,E_LowBar
1425,83,1308,red,TeleOpD1Att,2,1.0,E_LowBar
1426,83,128,red,TeleOpD1Att,0,1.0,E_LowBar
1427,83,3777,blue,TeleOpD1Att,2,1.0,E_LowBar
1428,83,3821,blue,TeleOpD1Att,0,1.0,E_LowBar
1429,83,4213,blue,TeleOpD1Att,0,1.0,E_LowBar
